c1q1,c1q2,c1q3,c1q4,c1q5,c2q1,c2q2,c2q3,c2q4,c2q5,c3q1,c3q2,c3q3,c3q4,c3q5,label
1,3,4,1,5,3,1,1,5,5,1,4,3,5,1,finance
5,5,4,1,5,4,3,2,1,4,3,1,3,1,3,inovation
5,3,4,3,5,5,1,4,2,3,1,3,5,5,5,inovation
2,5,2,3,1,4,1,4,3,4,1,2,2,4,2,inovation
5,2,4,2,5,4,1,4,4,4,5,4,3,4,1,marketing
4,3,4,2,4,4,4,3,3,1,3,1,3,2,2,inovation
5,2,3,1,2,5,4,3,5,3,4,1,5,4,4,inovation
1,3,4,3,5,4,4,5,2,5,4,4,3,1,5,finance
1,3,4,1,3,4,4,4,5,4,3,2,3,5,1,finance
5,5,4,5,5,1,5,5,2,3,5,1,5,4,3,marketing
4,2,5,1,4,3,5,1,4,5,1,4,5,4,5,inovation
5,5,2,4,3,3,3,1,2,4,4,4,5,5,2,marketing
3,4,5,4,3,3,5,5,4,5,1,1,4,3,3,inovation
1,4,4,2,3,4,4,1,5,3,2,4,3,2,3,finance
4,2,4,1,4,4,4,3,5,4,5,2,2,3,1,finance
3,5,2,1,1,1,2,4,4,4,3,4,5,5,4,marketing
3,4,1,4,2,2,2,1,1,2,4,3,3,2,3,marketing
1,4,5,3,3,1,5,1,2,4,2,5,5,4,4,finance
4,1,2,2,1,1,5,5,1,1,4,3,5,2,5,finance
1,4,5,3,4,5,1,2,2,4,2,4,2,1,1,finance
5,3,5,4,4,1,5,3,4,1,2,3,5,5,1,inovation
1,2,5,4,2,4,1,1,1,4,2,5,2,3,1,finance
1,4,2,5,1,2,2,5,1,4,1,5,2,3,3,marketing
2,4,4,2,3,3,5,1,3,5,4,4,2,5,2,finance
5,1,3,2,4,3,4,3,2,5,1,5,5,4,3,finance
1,2,2,5,3,2,3,5,4,4,1,4,4,2,4,finance
5,4,5,5,2,3,4,2,4,5,4,5,1,5,5,marketing
2,3,2,5,4,1,3,3,3,5,3,4,5,1,3,marketing
3,5,4,4,1,4,4,4,3,3,4,1,1,1,3,inovation
1,3,1,2,1,2,3,3,5,2,2,5,5,1,4,finance
4,1,4,2,2,2,2,4,3,3,1,1,3,4,4,inovation
4,1,3,3,4,4,4,2,2,5,2,2,5,4,2,inovation
2,3,2,3,4,3,3,3,4,1,5,1,3,4,4,finance
4,2,2,5,1,5,5,1,1,4,3,4,2,3,5,finance
5,1,1,3,3,2,3,4,3,2,5,4,4,2,4,marketing
4,4,5,4,5,5,1,1,1,3,5,2,4,1,4,marketing
4,4,3,5,5,1,2,3,2,4,3,4,3,1,5,marketing
4,4,5,2,4,2,3,5,5,2,2,1,3,4,4,inovation
2,5,4,5,5,3,4,1,1,2,5,5,1,2,3,finance
2,5,2,5,4,2,2,2,2,4,1,2,4,4,4,inovation
4,2,2,4,1,2,2,2,2,4,3,4,1,4,5,marketing
3,4,1,3,3,1,1,1,4,5,5,5,5,4,1,marketing
3,1,5,3,5,2,2,5,5,4,5,5,3,3,4,finance
3,3,4,2,4,4,5,2,3,4,4,5,2,2,2,finance
2,1,4,2,4,3,3,3,3,3,4,3,4,4,4,finance
3,3,2,4,5,5,1,1,4,3,2,3,5,5,2,inovation
2,2,3,5,5,5,4,4,5,2,5,5,2,5,3,finance
5,1,3,5,2,3,1,4,3,5,5,4,1,2,2,marketing
5,5,5,3,4,2,4,3,2,5,4,1,2,5,4,inovation
4,1,4,3,5,3,3,3,2,3,5,3,1,3,3,finance
4,2,1,5,3,4,2,2,4,5,3,1,2,5,2,inovation
3,3,1,2,5,2,2,4,2,3,5,2,4,5,4,marketing
3,4,3,4,4,4,2,5,3,1,5,1,2,4,2,marketing
1,4,4,1,1,5,5,2,4,4,1,3,2,1,1,inovation
3,5,4,3,2,1,2,3,5,4,1,3,2,3,4,marketing
5,4,1,5,4,3,3,3,5,2,5,1,1,5,5,marketing
1,1,1,3,1,5,5,3,3,3,2,5,1,4,3,finance
1,2,2,4,4,2,2,1,2,3,2,5,5,4,5,finance
1,5,2,4,1,1,4,4,2,5,5,3,5,3,3,marketing
3,5,4,1,4,2,2,2,1,4,4,2,1,3,1,marketing
2,2,1,1,5,5,3,1,4,4,2,3,3,1,1,finance
1,3,5,1,2,1,5,2,4,5,1,2,3,4,1,inovation
4,1,4,2,5,5,1,1,5,2,3,4,2,5,1,finance
4,5,4,5,2,2,1,5,2,1,2,2,5,2,2,marketing
4,5,3,4,1,5,2,3,1,2,3,1,1,3,2,inovation
4,1,1,5,3,3,5,5,5,3,2,5,2,3,1,finance
5,2,2,4,1,1,2,1,4,2,2,1,3,1,5,marketing
2,3,5,2,5,3,4,4,1,1,3,3,5,1,3,finance
2,5,1,5,2,3,2,3,5,3,4,2,4,3,1,marketing
1,5,2,4,5,5,4,4,1,4,4,5,3,1,4,finance
5,5,3,4,1,4,2,5,5,5,4,2,5,3,2,marketing
5,1,2,2,3,5,5,1,2,1,5,2,5,5,3,finance
4,4,5,4,3,2,1,3,1,1,2,1,2,3,3,marketing
2,3,1,5,3,4,4,5,2,1,2,1,4,1,5,inovation
4,2,1,2,4,1,2,2,3,2,1,2,1,4,5,marketing
4,1,1,3,1,1,5,2,1,5,1,3,4,2,4,inovation
4,4,4,1,2,2,4,1,2,5,5,4,5,4,4,marketing
4,1,2,2,5,1,4,5,4,1,1,1,2,2,3,inovation
1,4,5,4,2,5,1,3,3,5,4,2,4,3,1,finance
3,3,1,2,1,5,5,4,5,1,4,3,4,3,2,finance
1,3,4,5,2,5,2,5,3,3,1,3,4,3,5,finance
2,3,3,3,5,4,5,5,1,1,4,1,5,1,1,finance
4,3,5,5,3,4,5,4,2,2,3,4,1,3,4,finance
5,5,5,3,4,5,4,5,3,1,4,5,3,1,4,marketing
2,1,3,1,5,4,2,2,3,3,2,2,5,2,1,finance
3,3,5,5,4,3,4,4,4,3,1,2,4,2,5,inovation
3,1,2,2,4,2,3,1,3,3,3,1,4,3,4,finance
1,2,1,1,5,4,5,3,5,3,5,2,2,1,3,finance
3,5,5,4,4,5,2,4,5,1,5,2,2,5,4,marketing
5,1,2,3,1,2,2,1,4,4,2,5,5,2,5,marketing
1,5,2,2,2,1,5,1,4,5,1,1,5,3,3,inovation
1,1,2,4,3,4,4,3,3,2,2,5,3,3,5,finance
3,2,3,5,1,5,3,3,4,3,2,2,5,2,4,inovation
2,2,5,2,5,1,1,2,1,3,5,1,3,3,4,marketing
3,1,5,2,5,5,1,1,2,2,5,5,2,3,4,finance
2,3,4,4,1,1,5,1,5,2,3,5,3,2,4,finance
3,3,2,5,5,3,5,3,5,1,4,3,5,4,3,finance
4,1,1,5,3,5,1,1,4,1,3,4,1,3,4,finance
4,3,5,3,4,1,1,2,5,2,4,2,4,2,1,marketing
2,3,1,2,5,1,2,4,5,4,5,1,1,2,5,marketing
2,1,1,4,4,3,2,4,3,4,3,3,5,4,1,finance
3,5,4,2,1,5,3,5,5,4,1,4,3,5,2,inovation
2,4,1,5,4,3,1,2,1,5,5,3,4,3,1,marketing
1,3,5,4,1,1,1,4,3,1,4,5,4,4,3,marketing
1,4,2,2,1,1,1,2,4,3,3,3,5,5,1,marketing
4,1,4,2,4,4,1,5,5,2,3,5,1,5,3,finance
2,4,4,2,5,4,1,5,1,4,5,2,5,5,4,marketing
5,4,2,1,2,2,5,1,3,1,3,3,1,3,3,inovation
4,4,5,3,4,1,3,1,4,2,1,4,4,4,5,marketing
5,3,3,4,4,2,4,3,1,4,1,1,2,4,1,inovation
2,3,4,3,1,1,2,3,4,2,2,3,5,1,4,marketing
4,4,2,5,3,2,3,4,4,3,4,5,4,4,1,marketing
3,1,2,5,2,4,3,2,2,4,1,2,2,5,5,inovation
3,5,2,1,2,3,3,5,5,2,2,3,1,2,4,inovation
4,4,3,4,5,5,1,2,4,3,1,5,4,4,1,marketing
1,3,3,5,4,5,4,4,5,3,3,3,5,2,3,finance
4,4,1,3,5,3,3,3,3,2,3,2,1,5,4,inovation
2,2,1,2,3,1,5,2,2,5,4,5,5,5,2,finance
2,5,4,3,2,5,1,5,5,4,4,3,5,1,2,marketing
3,3,4,3,1,1,3,3,2,4,4,2,2,5,2,marketing
5,2,4,3,2,1,3,5,2,4,4,1,5,2,5,marketing
1,2,3,5,2,4,2,4,3,2,4,2,2,5,5,finance
3,5,5,4,3,2,1,3,4,3,3,2,1,2,1,marketing
5,3,1,2,1,3,3,5,4,2,2,2,1,5,4,inovation
4,1,5,1,4,5,2,4,1,1,3,3,2,2,3,finance
2,2,2,3,2,4,5,4,4,3,1,4,3,2,4,finance
4,5,3,4,4,2,2,2,5,1,4,4,3,4,1,marketing
1,5,5,5,5,2,3,3,5,3,2,4,2,3,5,marketing
1,4,2,5,2,1,3,2,2,5,2,4,3,1,3,marketing
3,2,3,4,3,5,1,3,3,3,2,3,1,3,1,finance
4,4,5,2,1,4,5,2,2,5,4,1,5,2,4,inovation
5,4,2,4,5,1,4,2,5,4,1,1,3,3,3,inovation
5,5,5,2,4,3,2,1,5,2,1,1,4,2,5,inovation
2,4,3,4,5,2,2,4,2,5,1,5,5,2,4,marketing
4,4,5,2,3,3,4,5,4,1,5,3,3,2,2,marketing
4,3,5,1,3,4,3,5,1,2,4,3,4,1,1,finance
1,1,4,1,5,5,2,5,5,3,1,5,3,3,4,finance
3,3,5,5,4,5,4,5,2,4,1,5,3,2,1,finance
2,1,3,5,3,1,4,4,3,1,5,2,2,3,2,finance
4,1,5,1,4,5,1,2,4,5,3,2,2,1,4,finance
1,4,3,1,5,4,2,4,4,1,2,1,1,2,4,inovation
1,5,5,2,2,5,5,2,1,3,2,1,1,1,5,inovation
2,5,3,3,4,3,3,4,5,2,2,3,4,4,3,inovation
3,3,4,1,2,5,1,4,3,4,1,3,4,3,5,inovation
3,2,2,3,2,4,3,5,1,5,2,4,3,1,4,finance
3,3,5,2,4,4,4,2,2,2,1,4,3,4,5,inovation
3,5,4,1,2,5,4,1,1,2,4,1,2,1,1,inovation
3,4,5,1,2,5,2,3,1,5,1,1,1,2,2,inovation
4,3,3,5,2,4,5,2,1,5,4,1,4,4,5,inovation
4,4,3,4,2,3,4,2,3,2,2,1,1,2,4,inovation
4,4,2,5,3,4,4,1,1,3,4,1,2,2,4,inovation
4,2,1,3,3,3,2,3,1,4,4,4,2,5,2,marketing
3,1,3,5,3,2,2,2,3,3,4,4,1,1,4,finance
5,5,4,1,4,2,5,4,1,1,4,4,5,5,5,marketing
2,5,5,2,2,1,4,4,3,5,3,4,4,3,4,marketing
4,5,3,1,2,3,2,4,3,5,2,1,3,5,3,inovation
5,2,5,3,2,2,3,2,2,3,3,4,1,3,3,marketing
3,1,5,3,5,2,5,1,2,2,5,1,5,2,3,finance
3,3,1,4,5,5,2,4,2,1,2,5,1,5,2,finance
3,2,3,1,2,3,1,4,2,4,4,5,4,3,3,marketing
5,4,2,1,5,1,5,3,1,2,1,3,3,4,3,inovation
3,2,1,2,5,3,4,3,4,3,2,3,2,3,1,finance
4,3,1,1,2,5,4,5,1,1,3,4,3,3,4,finance
4,5,1,2,3,4,3,4,3,1,4,2,3,5,1,inovation
5,5,2,2,4,5,4,4,1,1,5,1,3,1,4,inovation
2,5,2,1,3,4,3,4,3,2,1,2,1,5,5,inovation
1,2,2,2,3,4,5,5,3,5,4,3,3,4,4,finance
2,3,1,1,1,3,4,2,1,5,3,4,1,4,4,finance
2,1,4,5,4,1,3,2,4,3,3,5,3,3,1,finance
5,2,4,1,1,5,3,4,2,2,5,5,1,2,4,finance
5,1,3,2,3,1,2,2,3,2,2,3,3,4,3,marketing
4,3,1,2,2,5,3,1,3,5,4,3,2,3,5,finance
1,5,1,3,3,1,1,5,3,2,3,5,4,4,3,marketing
5,5,5,1,1,2,5,4,2,4,3,2,3,3,3,inovation
4,5,1,4,5,3,3,5,1,3,4,5,5,1,3,marketing
2,2,2,4,2,1,5,2,3,4,2,2,1,2,1,finance
5,1,5,2,3,2,5,5,4,2,2,2,5,1,4,inovation
1,3,4,5,1,1,3,1,3,4,3,1,3,3,1,finance
3,5,4,2,2,3,3,4,1,2,3,2,2,1,3,inovation
2,3,1,1,5,5,1,1,1,5,3,1,1,4,1,inovation
1,2,1,2,2,2,2,4,4,3,3,4,3,4,5,finance
5,5,4,2,1,2,5,3,3,1,4,2,3,2,4,inovation
4,5,5,3,4,4,2,4,1,2,1,3,5,1,2,inovation
1,1,2,5,4,3,4,2,2,5,5,5,3,4,1,finance
3,1,3,5,4,2,4,5,2,4,5,2,1,3,4,finance
1,5,2,5,5,3,3,2,4,5,3,4,1,3,2,finance
2,1,2,4,2,1,1,1,5,4,1,1,3,4,5,marketing
1,5,1,1,3,1,4,3,3,3,1,5,5,5,1,marketing
1,3,3,5,3,2,4,2,5,5,4,4,5,2,3,finance
1,3,3,1,2,4,4,5,3,3,3,1,3,1,5,finance
2,2,2,2,1,3,4,2,4,3,2,3,3,1,1,finance
1,1,2,1,3,2,1,5,4,3,2,3,1,3,3,finance
5,3,5,5,5,1,3,1,3,4,3,5,1,1,3,marketing
4,3,2,1,4,5,4,5,4,3,1,2,2,1,1,inovation
1,3,3,1,3,1,1,5,5,3,2,3,5,1,3,marketing
4,2,3,2,3,4,1,5,4,2,4,2,4,3,2,marketing
1,4,4,1,5,2,2,5,4,4,3,1,1,1,4,marketing
3,2,5,2,2,5,1,3,1,5,4,3,2,4,3,finance
4,3,4,2,2,2,2,5,2,1,2,1,4,1,3,inovation
4,4,3,2,2,1,2,5,3,4,4,4,1,5,4,marketing
4,1,2,1,3,5,1,2,1,4,4,2,4,3,3,finance
5,2,2,5,1,4,4,3,3,1,2,5,4,2,4,finance
3,1,3,2,1,2,4,5,5,3,4,5,3,3,1,finance
1,4,3,4,5,5,3,4,4,2,4,1,3,4,2,finance
5,4,2,4,4,5,3,2,1,2,3,3,2,2,4,inovation
5,4,1,1,5,4,5,4,5,3,1,5,1,4,1,inovation
1,2,1,2,5,5,4,2,2,2,3,4,4,5,4,finance
4,1,1,3,3,3,4,2,3,4,2,4,2,2,5,finance
3,5,2,3,4,2,2,1,3,4,4,4,1,3,3,marketing
4,1,4,3,5,1,3,1,3,4,2,1,4,2,4,inovation
4,3,4,1,3,4,1,1,5,2,4,4,5,5,3,marketing
4,1,5,3,2,3,3,5,5,2,2,2,1,3,5,inovation
2,1,1,5,5,4,3,1,1,5,3,5,5,5,3,finance
2,3,2,4,3,2,1,4,5,3,4,1,5,3,2,marketing
4,2,3,1,3,3,2,5,2,2,4,5,4,3,5,marketing
2,3,5,2,3,5,3,1,1,1,2,4,5,2,2,finance
4,5,1,2,2,5,1,1,2,5,5,5,5,5,2,marketing
3,5,3,2,1,5,2,1,2,4,3,5,2,5,3,marketing
2,1,1,3,5,5,4,2,2,2,1,2,3,3,3,finance
1,1,3,3,5,3,1,2,4,1,4,4,2,4,2,finance
5,1,2,5,1,1,1,4,5,3,5,4,3,2,5,marketing
1,2,3,3,4,1,5,3,2,4,4,5,4,5,3,finance
2,1,2,1,1,3,5,3,4,4,3,2,4,1,3,finance
5,4,2,4,5,2,4,2,4,1,5,3,2,5,5,marketing
1,1,2,1,1,3,5,2,3,2,2,3,1,4,4,finance
3,5,3,2,4,5,4,1,4,1,4,4,2,5,2,finance
3,2,1,4,5,5,5,1,4,5,5,5,4,3,2,finance
4,2,3,2,2,4,4,2,1,5,5,2,3,2,5,finance
2,1,1,4,5,2,1,4,4,1,2,2,3,3,4,finance
2,1,3,2,4,2,5,1,3,2,2,3,2,3,4,finance
3,2,5,2,3,1,2,2,4,2,2,5,1,5,4,marketing
5,2,4,4,3,5,3,5,2,1,1,4,5,1,2,inovation
4,4,3,3,4,2,3,3,2,5,5,1,3,3,3,marketing
4,4,4,4,3,5,3,1,5,5,4,2,4,5,1,inovation
3,2,3,2,1,1,2,3,4,2,5,3,1,4,2,marketing
1,3,4,2,2,2,3,5,4,2,4,4,2,4,2,finance
2,5,3,1,2,5,4,4,1,5,5,5,2,4,3,finance
5,5,3,3,2,5,2,3,2,4,5,4,4,3,1,marketing
1,1,2,3,3,4,3,4,1,2,4,1,1,3,3,finance
3,4,1,1,2,1,1,2,2,3,1,3,1,2,2,marketing
1,5,5,2,5,1,1,3,2,5,3,4,1,5,2,marketing
2,3,5,4,4,1,3,2,4,1,1,5,1,2,1,marketing
5,1,2,2,5,4,5,1,2,3,1,3,5,2,2,inovation
2,1,3,2,4,4,2,5,5,2,3,3,5,2,4,finance
2,2,4,2,2,1,1,4,2,3,1,4,4,4,3,marketing
5,5,3,3,5,2,1,3,4,5,1,3,2,2,5,marketing
2,1,3,1,3,3,5,1,3,4,4,4,5,4,3,finance
4,2,4,4,5,4,2,1,4,4,3,5,2,2,3,finance
2,5,4,5,5,5,2,5,1,3,3,4,1,3,4,finance
1,5,5,1,2,5,3,3,1,1,5,2,2,1,3,finance
1,5,4,4,4,3,5,3,4,4,1,4,5,4,4,inovation
5,4,2,2,5,2,3,4,5,5,4,2,1,1,4,marketing
5,1,1,1,5,4,3,1,4,4,5,1,1,2,3,finance
2,2,4,2,3,5,5,3,5,1,5,1,1,3,1,finance
1,1,5,2,3,1,3,1,2,3,2,1,2,2,1,finance
2,4,2,3,4,4,2,3,3,1,1,3,5,5,2,inovation
2,3,5,3,2,1,4,5,2,4,2,4,5,1,5,finance
5,2,5,1,1,4,1,5,2,5,3,5,1,5,4,marketing
4,4,4,4,1,5,1,5,4,3,1,5,2,5,5,marketing
3,5,2,1,3,5,3,4,3,1,3,5,5,3,1,finance
2,5,5,2,5,2,2,1,4,1,4,2,5,5,4,marketing
5,5,3,5,3,3,4,5,3,4,1,4,2,2,1,inovation
3,2,2,2,2,4,2,5,5,1,4,2,4,4,3,finance
5,1,4,5,2,4,2,2,1,2,4,1,2,1,3,inovation
4,2,3,1,5,1,5,5,3,3,4,5,5,3,5,finance
2,5,5,2,3,3,2,5,3,5,4,3,4,4,2,marketing
1,4,2,2,5,4,2,3,3,2,1,1,3,3,1,inovation
5,5,5,2,2,4,2,5,1,3,2,4,5,5,1,marketing
4,3,4,5,3,1,3,3,1,1,4,4,1,1,5,marketing
1,5,2,5,4,5,5,2,4,3,4,3,3,3,4,finance
5,5,1,2,5,2,3,3,2,1,5,4,2,1,3,marketing
2,3,2,2,4,4,2,2,1,1,4,2,2,1,2,finance
4,4,1,2,3,1,3,5,4,5,5,4,3,2,2,marketing
2,2,5,3,1,2,4,2,2,2,5,3,1,5,1,finance
1,3,3,3,5,1,4,1,4,4,1,2,5,5,3,inovation
4,2,2,2,5,3,1,3,5,5,1,2,1,3,2,inovation
5,2,4,4,3,3,1,1,4,5,1,3,2,2,5,marketing
2,1,3,5,3,5,2,2,1,3,4,5,1,2,2,finance
1,4,3,2,5,2,3,3,2,4,4,3,1,5,4,finance
4,5,4,3,2,4,2,1,4,3,3,2,4,5,3,inovation
1,4,4,4,1,3,4,2,3,1,5,5,3,2,4,finance
2,1,2,1,3,5,2,5,5,4,4,1,1,5,2,finance
4,2,5,1,1,5,5,2,4,1,3,5,5,3,3,finance
2,4,4,1,4,2,4,5,5,1,5,1,1,2,1,finance
3,1,5,4,5,1,2,1,2,4,4,3,1,2,4,marketing
1,5,4,4,1,1,1,3,2,3,4,2,1,5,1,marketing
3,4,4,2,1,5,3,1,5,5,2,5,4,4,3,finance
1,4,5,2,5,2,4,4,4,3,5,1,4,5,4,finance
4,1,4,5,2,5,5,4,5,2,3,4,5,1,1,finance
4,5,3,5,1,2,5,2,2,1,5,4,5,2,3,marketing
2,2,1,2,3,1,1,3,5,2,2,5,3,4,2,marketing
1,5,1,4,5,3,4,1,5,5,5,5,1,1,5,finance
3,5,3,4,2,1,4,1,4,3,3,3,3,3,5,marketing
1,4,1,4,1,5,3,1,2,4,4,2,3,5,1,finance
1,2,2,5,4,1,3,2,3,3,5,5,5,3,1,finance
4,4,4,5,4,1,3,3,2,4,3,3,1,2,4,marketing
2,3,4,4,1,2,1,2,4,3,1,5,4,2,4,marketing
5,5,1,5,3,3,4,5,2,2,3,3,2,1,1,inovation
5,3,3,3,5,4,5,3,3,3,5,5,5,4,4,finance
4,2,2,1,5,2,2,4,2,5,1,5,4,1,2,marketing
1,4,4,5,5,4,4,2,1,3,3,1,3,3,1,inovation
5,5,5,5,4,4,3,2,3,3,3,5,4,3,5,marketing
4,3,4,4,5,5,3,1,3,3,4,3,3,5,4,finance
5,1,1,5,4,4,2,1,4,5,5,5,3,3,1,finance
3,4,1,3,5,2,3,4,1,3,2,4,4,3,3,marketing
2,3,2,3,3,2,4,3,5,1,5,2,4,4,1,finance
3,1,3,3,2,5,5,1,1,4,2,2,4,3,4,finance
4,2,5,5,4,2,1,3,3,1,1,5,2,1,2,marketing
1,5,1,1,5,4,5,4,1,3,4,5,4,4,4,finance
5,1,3,4,4,4,5,4,4,4,1,2,4,4,2,inovation
5,2,5,3,3,3,3,5,3,3,5,5,5,1,3,marketing
5,5,3,2,3,5,3,2,5,5,4,5,2,4,1,marketing
5,4,4,2,3,2,1,1,1,4,3,3,1,3,4,marketing
5,1,4,3,5,1,4,2,5,1,2,1,2,5,2,inovation
2,2,4,2,1,1,3,1,3,3,2,3,2,5,5,finance
1,5,4,5,1,3,1,3,5,5,4,5,5,5,2,marketing
2,5,2,2,3,2,2,5,5,2,2,2,1,5,2,marketing
1,2,1,4,2,2,4,1,5,3,5,1,1,2,1,finance
5,4,1,1,3,2,3,3,4,2,1,2,2,1,3,inovation
2,3,1,3,5,3,1,1,1,1,2,2,4,3,5,marketing
2,2,5,2,3,1,1,3,4,2,4,3,5,5,1,marketing
4,3,2,2,4,4,2,1,5,3,1,3,5,1,3,inovation
2,5,2,2,3,4,2,2,5,5,2,1,5,4,3,inovation
5,3,1,4,2,2,5,3,4,4,3,5,1,1,1,marketing
5,3,3,1,5,3,3,1,2,3,1,3,2,2,1,inovation
4,5,4,3,2,5,4,3,1,1,3,2,1,3,4,inovation
2,2,5,1,5,4,1,3,1,4,5,1,3,1,5,finance
1,2,1,4,3,5,2,5,1,5,4,1,2,3,2,finance
3,4,3,1,3,2,2,4,3,5,3,1,2,5,5,marketing
4,2,5,4,4,1,1,2,3,1,5,1,2,2,5,marketing
2,5,2,2,5,5,1,1,2,4,3,1,3,3,3,inovation
3,5,2,4,1,4,2,3,1,1,1,3,2,2,4,inovation
3,2,4,3,3,1,2,2,1,1,4,1,2,4,2,marketing
4,4,4,5,4,3,1,3,1,5,4,1,1,3,4,marketing
1,2,1,4,1,1,1,2,1,3,2,3,1,4,4,marketing
2,4,4,1,5,3,1,4,1,3,5,3,5,1,3,marketing
1,5,5,3,4,3,3,4,2,1,2,3,3,3,3,inovation
2,2,5,4,3,3,5,3,1,4,1,3,2,1,4,finance
3,2,5,3,4,1,5,1,3,3,1,4,4,5,4,finance
1,1,2,5,3,4,5,5,4,2,3,4,3,1,2,finance
4,1,5,3,5,4,1,5,1,4,2,4,2,5,4,finance
2,4,2,1,2,5,3,2,1,1,2,3,2,1,2,inovation
1,3,2,3,1,4,3,5,3,4,5,2,3,1,4,finance
3,5,5,1,5,4,2,2,5,1,4,3,2,1,5,marketing
4,2,1,2,4,5,3,3,5,3,1,5,3,4,4,finance
5,4,5,1,1,3,4,2,1,1,2,3,2,5,2,inovation
5,4,5,2,4,2,4,4,3,5,1,1,4,2,1,inovation
1,5,2,4,3,2,1,1,5,1,3,4,4,3,2,marketing
5,5,4,4,4,2,5,1,5,5,5,1,5,5,5,inovation
1,3,3,1,1,3,1,3,1,2,4,5,3,5,1,finance
3,5,1,3,4,2,2,3,3,4,5,2,2,1,4,marketing
1,3,5,4,5,2,1,2,4,2,3,3,3,2,2,marketing
2,3,5,4,1,5,3,3,3,4,3,4,2,5,5,finance
4,4,5,1,3,3,4,4,2,5,2,3,5,5,3,inovation
2,4,1,5,4,4,4,4,3,4,5,5,5,5,4,finance
5,1,2,4,2,3,5,4,2,4,5,2,1,2,4,finance
1,1,5,3,1,2,2,3,2,3,2,4,3,4,2,finance
2,5,4,3,5,3,2,4,3,4,1,3,3,2,4,inovation
3,5,1,1,1,1,1,3,1,4,4,3,4,2,5,marketing
2,4,3,4,1,3,3,3,4,5,1,2,1,1,1,inovation
5,1,3,5,1,5,4,5,5,2,1,3,4,3,5,inovation
2,4,3,3,1,5,4,4,3,1,5,2,1,1,1,finance
3,2,4,1,4,4,5,5,3,3,1,3,5,4,5,inovation
5,2,4,5,1,4,3,2,5,1,3,2,3,2,5,inovation
1,5,5,2,4,1,1,1,2,5,3,1,3,1,3,marketing
5,4,4,5,2,4,2,3,1,1,4,5,2,4,1,marketing
1,3,5,3,2,4,3,2,2,1,2,3,5,5,4,finance
5,5,4,1,2,4,2,5,3,4,4,4,5,5,1,marketing
1,3,5,3,4,1,5,4,5,5,5,3,5,2,5,finance
1,1,5,5,4,1,3,5,3,2,1,5,2,3,3,finance
3,2,1,2,1,3,3,2,5,3,5,2,5,3,1,finance
3,2,5,5,5,1,2,3,4,4,2,4,3,2,5,marketing
2,1,4,1,1,2,4,4,1,1,5,1,5,2,3,finance
3,1,2,2,2,1,4,2,2,5,4,2,2,3,3,finance
1,4,1,5,5,5,1,2,5,4,1,1,5,1,1,inovation
3,3,5,3,5,2,3,1,5,2,1,4,3,1,4,marketing
2,5,1,4,5,3,2,4,3,3,2,2,5,4,3,inovation
5,2,3,2,1,2,5,4,1,1,1,1,4,1,1,inovation
5,3,4,3,1,1,1,5,3,2,1,1,2,3,1,marketing
3,4,5,5,3,1,1,1,1,3,3,1,1,4,3,marketing
3,4,1,2,5,2,4,4,3,5,5,5,1,3,3,marketing
2,4,3,1,2,3,5,4,4,3,2,2,1,2,2,inovation
1,2,5,2,1,3,1,3,3,2,5,4,2,4,1,finance
3,4,5,2,2,5,2,5,2,5,3,2,5,1,5,inovation
4,5,2,4,1,2,5,1,4,4,1,5,3,3,4,inovation
1,4,1,3,5,5,5,2,1,3,2,4,5,2,4,finance
4,4,3,3,1,5,4,5,5,2,2,4,3,2,1,inovation
2,1,5,2,3,5,5,4,5,2,4,5,4,4,5,finance
5,5,3,2,2,3,4,1,2,3,2,5,1,1,1,marketing
3,3,5,4,2,1,1,1,4,2,1,2,4,1,5,marketing
1,1,5,1,1,1,2,1,3,4,1,4,3,1,5,finance
1,2,5,4,3,2,3,4,5,5,1,5,1,2,5,finance
3,1,3,3,1,3,2,1,5,4,5,1,3,2,4,finance
1,3,1,3,5,5,4,1,5,2,4,5,1,3,5,finance
3,3,2,4,4,2,3,3,1,4,2,2,3,5,1,inovation
5,2,1,4,4,2,2,2,3,1,5,1,1,4,2,marketing
2,2,5,2,2,5,2,4,1,5,2,2,2,2,4,finance
5,1,3,4,3,4,5,5,3,2,3,4,5,3,2,finance
2,4,3,1,1,5,3,4,2,4,4,4,5,1,3,finance
5,4,5,1,5,4,1,1,4,4,4,1,3,3,2,marketing
5,4,5,2,4,1,2,1,5,3,2,3,1,5,5,marketing
4,4,5,5,5,3,2,1,4,3,5,3,5,3,3,marketing
2,4,5,5,1,5,5,2,4,4,2,1,2,1,3,inovation
3,2,5,4,4,3,2,2,4,4,3,1,2,5,3,inovation
5,5,1,4,4,1,1,3,5,4,1,1,5,5,3,marketing
3,4,1,5,4,2,1,3,4,5,2,3,2,2,4,marketing
5,5,1,3,5,4,1,2,3,1,5,3,2,1,5,marketing
4,3,2,1,5,5,3,3,2,3,4,5,1,2,4,finance
1,5,5,3,4,3,4,3,4,4,4,5,5,5,2,finance
2,5,3,2,1,5,4,3,4,3,4,4,5,2,2,finance
1,1,4,5,1,2,3,2,5,2,2,2,5,2,3,finance
4,3,5,1,1,4,5,5,2,5,5,4,5,4,2,finance
5,1,3,4,2,2,4,5,1,3,4,5,1,2,3,finance
3,3,5,1,2,3,5,1,1,4,2,1,4,2,4,inovation
